file_path,layer,primary_responsibility,secondary_responsibilities,inputs_owned,outputs_owned,rules_owned,rules_referenced_elsewhere,scripts_called_or_referenced,contracts_called_or_referenced,route_status,line_count,owner_confidence
references/workflow/08_retrospective.md,workflow,Retrospective: analyze run → candidate defaults,,flow events; feedback files; validation summaries,run_summary.json; default_suggestions.md; memory_candidates.json,requires_user_confirmation; no auto-writeback,,scripts/retrospective/analyze_run.py,retrospective_contract.md,active,30,high
references/contracts/agent_task_contract.md,contract,"agent_task.json schema: task_id, step, input_files, output_files, constraints, forbidden_writes",,,agent_task.json,task_id format; step enum; input_files completeness; forbidden_writes list,,scripts/orchestrate/make_agent_task.py; scripts/orchestrate/validate_agent_result.py,,active,58,high
references/contracts/agent_result_contract.md,contract,"agent_result.json schema: task_id, status, output_files (with SHA256), input_hashes (required)",,,agent_result.json,input_hashes required; output_files SHA256; status: completed/partial/failed; completed_at ISO 8601,,scripts/orchestrate/collect_agent_results.py; scripts/orchestrate/validate_agent_result.py,,active,72,high
references/contracts/worker_svg_contract.md,contract,"page_XX.svg technical contract: canvas, forbidden elements, text rules, metadata requirements",,,page_XX.svg,viewBox 1920x1080; no foreignObject; explicit fill/font-family; metadata comment,,scripts/validate_svg_layout.py,,active,65,high
references/contracts/template_profile_contract.md,contract,"template_profile.json schema: slide_size, colors, fonts, layouts, confidence, usage_policy",,,template_profile.json,source_file; confidence: parsed/inferred; usage_policy.mode: reference_only,,scripts/template/analyze_pptx_template.py; scripts/validate_contracts.py template,,active,40,high
references/contracts/repair_loop_contract.md,contract,"Repair loop tracking: repair_round, max_rounds, fixes_applied, issues_remaining, should_escalate",,,repair tracking in agent_result.json,max_rounds=2; escalation triggers; fix_type enum,,,,active,40,high
references/contracts/retrospective_contract.md,contract,"Retrospective output schema: run_summary, default_suggestions, memory_candidates",,,run_summary.json; default_suggestions.md; memory_candidates.json,requires_user_confirmation: true; safe_to_apply_automatically: [],,scripts/retrospective/analyze_run.py,,active,72,high
references/domain/style_system.md,domain,"Visual design system: colors, fonts, spacing, component language, page modes",,,,title anchor device; font-size ranges; color tokens; card discipline; emotional page limits,,,,active,360,high
references/domain/svg_rules.md,domain,"SVG technical rules: canvas, forbidden elements, text safety, validator handling",,,,"canvas 1920x1080; forbidden: foreignObject, filter, use, style, marker, mask, animate; text fill/font-family required; font-size minimums; validator issue handling",,scripts/validate_svg_layout.py,,active,371,high
references/domain/layout_taxonomy.md,domain,"Layout thinking: page modes, 6 PLAN questions, layout families L01-L15+L00, anti-laziness rules",,,,persuasion actions; content relations; layout family index; anti-laziness check; failure fallback rules,,,,active,413,high
references/domain/quality_checklist.md,domain,Quality checklist for validation worker input,,,,quality pre-flight checks,,scripts/orchestrate/make_agent_task.py,,active,101,high
references/contracts/integrated_review_contract.md,contract,integrated_review.json schema,,,,decision: pass/revise/blocked; must_fix vs should_fix,,,references/workflow/05_integrated_review_worker.md,active,52,high
references/contracts/page_manifest_contract.md,contract,page_manifest.json schema,,,,page_key; batch_config; status fields,,scripts/orchestrate/make_agent_task.py,,active,59,high
references/contracts/revision_notes_contract.md,contract,revision_notes.json schema,,,,repair_round; fixes_applied; remaining_concerns,,scripts/orchestrate/make_agent_task.py; references/workflow/05_integrated_review_worker.md,,active,48,high
references/contracts/self_review_contract.md,contract,self_review.json schema,,,,vision_available; png_reviewed; visual_status,,scripts/orchestrate/make_agent_task.py,,active,53,high
scripts/orchestrate/ppt_parent.py,script_orchestrate,"Parent orchestrator: state derivation, status/next/preflight, delegation to task/collect scripts",,,flow_state.json (via derive); status --json; next --json; preflight-layout-review --json,state machine (10 states); batch discipline enforcement,,scripts/orchestrate/make_agent_task.py; scripts/orchestrate/collect_agent_results.py; scripts/pipeline_gate.py; scripts/pptflow.py,all contracts referenced via make_agent_task.py,active,553,high
